"pid","grp","duration","entry","exit","num","ind"
8,"inactive",5,0,31,6294,1
14,"inactive",5,0,28,6294,1
15,"inactive",28,5,49,6294,1
16,"inactive",5,0,27,6294,1
26,"inactive",5,0,27,6294,1
36,"inactive",5,0,26,6294,1
43,"inactive",5,0,27,6294,1
55,"inactive",5,0,25,6294,1
56,"inactive",22,1,43,6294,1
57,"inactive",36,11,60,6294,1
61,"inactive",23,2,45,6294,1
75,"inactive",45,16,69,6294,1
77,"inactive",8,0,29,6294,1
81,"inactive",9,0,30,6294,1
83,"inactive",9,0,27,6294,1
84,"inactive",9,0,33,6294,1
91,"inactive",10,0,28,6294,1
96,"inactive",10,0,33,6294,1
109,"inactive",11,0,32,6294,1
116,"inactive",25,3,43,6294,1
117,"inactive",12,0,32,6294,1
157,"inactive",15,0,32,6294,1
163,"inactive",16,0,33,6294,1
168,"inactive",16,0,37,6294,1
180,"inactive",16,0,38,6294,1
183,"inactive",29,5,47,6294,1
188,"inactive",17,0,40,6294,1
192,"inactive",17,0,34,6294,1
196,"inactive",18,0,38,6294,1
212,"inactive",30,6,50,6294,1
217,"inactive",32,8,51,6294,1
221,"inactive",51,19,69,6294,1
228,"inactive",47,17,66,6294,1
240,"inactive",46,16,70,6294,1
244,"inactive",47,17,70,6294,1
246,"inactive",40,13,61,6294,1
252,"inactive",54,21,77,6294,1
263,"inactive",38,12,58,6294,1
267,"inactive",32,8,49,6294,1
269,"inactive",43,14,64,6294,1
277,"inactive",49,18,72,6294,1
279,"inactive",35,10,55,6294,1
284,"inactive",49,18,73,6294,1
288,"inactive",33,8,53,6294,1
296,"inactive",63,28,80,6294,1
313,"inactive",31,6,49,6294,1
314,"inactive",35,10,53,6294,1
324,"inactive",20,0,39,6294,1
328,"inactive",20,0,44,6294,1
334,"inactive",46,16,64,6294,1
337,"inactive",31,7,50,6294,1
348,"inactive",20,0,44,6294,1
349,"inactive",29,5,53,6294,1
351,"inactive",20,0,39,6294,1
355,"inactive",21,0,40,6294,1
376,"inactive",37,11,62,6294,1
379,"inactive",44,15,65,6294,1
391,"inactive",61,26,83,6294,1
392,"inactive",21,0,41,6294,1
393,"inactive",25,2,42,6294,1
402,"inactive",36,10,56,6294,1
404,"inactive",23,1,44,6294,1
423,"inactive",57,24,77,6294,1
425,"inactive",71,32,93,6294,1
426,"inactive",61,26,81,6294,1
427,"inactive",85,41,106,6294,1
437,"inactive",85,41,111,6294,1
441,"inactive",68,30,87,6294,1
444,"inactive",46,16,72,6294,1
449,"inactive",64,28,82,6294,1
455,"inactive",72,33,92,6294,1
461,"inactive",61,26,80,6294,1
462,"inactive",48,17,69,6294,1
498,"inactive",68,30,86,6294,1
505,"inactive",89,43,107,6294,1
519,"inactive",66,29,91,6294,1
521,"inactive",83,40,103,6294,1
524,"inactive",59,25,79,6294,1
526,"inactive",48,17,66,6294,1
535,"inactive",66,29,86,6294,1
539,"inactive",55,21,78,6294,1
554,"inactive",50,18,74,6294,1
566,"inactive",81,39,102,6294,1
577,"inactive",67,29,89,6294,1
578,"inactive",26,3,49,6294,1
579,"inactive",55,21,75,6294,1
585,"inactive",69,30,88,6294,1
595,"inactive",59,25,80,6294,1
597,"inactive",56,22,78,6294,1
608,"inactive",83,40,101,6294,1
610,"inactive",74,35,92,6294,1
616,"inactive",54,20,72,6294,1
617,"inactive",84,40,104,6294,1
622,"inactive",64,28,84,6294,1
628,"inactive",55,21,77,6294,1
